2017-03-15T13:38:19.179
2017-03-15T13:40:58.739
2017-03-15T13:41:46.661
2017-03-15T13:44:26.054
2017-03-15T13:44:45.046
2017-03-15T13:45:36.963
2017-03-15T13:46:20.637
2017-03-15T13:46:48.146
2017-03-15T13:48:35.318
2017-03-15T14:09:05.332
2017-03-15T14:09:52.044
2017-03-15T14:12:12.670
2017-03-15T14:15:23.951

Event{id=97, message='Some info for user John Smith', date=Mar 15, 2017 2:20:44 PM}
Event{id=90, message='Some info for user 5', date=Mar 15, 2017 5:34:51 PM}
Event{id=16, message='Some info for user John Smith', date=Mar 15, 2017 5:35:36 PM}
Event{id=62, message='Some info for user 4', date=Mar 15, 2017 5:35:36 PM}
Event{id=14, message='Some info for user 5', date=Mar 15, 2017 5:35:36 PM}
Event{id=53, message='Some info for user John Smith', date=Mar 15, 2017 5:37:44 PM}
Event{id=11, message='Some info for user 4', date=Mar 15, 2017 5:37:44 PM}
Event{id=49, message='Some info for user 5', date=Mar 15, 2017 5:37:44 PM}
Event{id=93, message='Some info for user John Smith', date=Mar 15, 2017 7:34:33 PM}
Event{id=23, message='Some info for user 4', date=Mar 15, 2017 7:34:33 PM}
Event{id=90, message='Some info for user 5', date=Mar 15, 2017 7:34:33 PM}
Event{id=22, message='Some info for user John Smith', date=Mar 15, 2017 7:57:38 PM}
Event{id=81, message='Some info for user 4', date=Mar 15, 2017 7:57:38 PM}
Event{id=64, message='Some info for user 5', date=Mar 15, 2017 7:57:38 PM}
Event{id=40, message='Some info for user John Smith', date=Mar 15, 2017 7:58:08 PM}
Event{id=54, message='Some info for user John Smith', date=Mar 15, 2017 8:17:16 PM}
Event{id=64, message='Some info for user John Smith', date=Mar 16, 2017 12:29:03 PM}
Event{id=71, message='Some info for user 4', date=Mar 16, 2017 12:29:03 PM}
Event{id=26, message='Some info for user 5', date=Mar 16, 2017 12:29:03 PM}
Event{id=68, message='Some info for user John Smith', date=Mar 16, 2017 12:33:51 PM}
Event{id=75, message='Some info for user 4', date=Mar 16, 2017 12:33:51 PM}
Event{id=84, message='Some info for user 5', date=Mar 16, 2017 12:33:51 PM}
Event{id=13, message='Some info for user John Smith', date=Mar 16, 2017 12:35:47 PM}
Event{id=43, message='Some info for user 4', date=Mar 16, 2017 12:35:47 PM}
Event{id=42, message='Some info for user 5', date=Mar 16, 2017 12:35:47 PM}
Event{id=16, message='Some info for user John Smith', date=Mar 16, 2017 12:36:34 PM}
Event{id=41, message='Some info for user 4', date=Mar 16, 2017 12:36:34 PM}
Event{id=80, message='Some info for user 5', date=Mar 16, 2017 12:36:34 PM}
Event{id=28, message='Some info for user John Smith', date=Mar 16, 2017 12:37:04 PM}
Event{id=21, message='Some info for user 4', date=Mar 16, 2017 12:37:04 PM}
Event{id=58, message='Some info for user 5', date=Mar 16, 2017 12:37:04 PM}
Event{id=79, message='Some info for user John Smith', date=Mar 16, 2017 12:38:25 PM}
Event{id=10, message='Some info for user 4', date=Mar 16, 2017 12:38:25 PM}
Event{id=11, message='Some info for user 5', date=Mar 16, 2017 12:38:25 PM}
Event{id=35, message='Some info for user John Smith', date=Mar 16, 2017 12:39:13 PM}
Event{id=25, message='Some info for user 4', date=Mar 16, 2017 12:39:15 PM}
Event{id=51, message='Some info for user 5', date=Mar 16, 2017 12:39:15 PM}
Event{id=11, message='Some info for user John Smith', date=Mar 16, 2017 12:44:07 PM}
Event{id=87, message='Some info for user 4', date=Mar 16, 2017 12:44:07 PM}
Event{id=8, message='Some info for user 5', date=Mar 16, 2017 12:44:07 PM}
Event{id=65, message='Some info for user John Smith', date=Mar 16, 2017 12:45:48 PM}
Event{id=41, message='Some info for user 4', date=Mar 16, 2017 12:45:48 PM}
Event{id=96, message='Some info for user 5', date=Mar 16, 2017 12:45:48 PM}
Event{id=45, message='Some info for user John Smith', date=Mar 16, 2017 1:00:31 PM}
Event{id=82, message='Some info for user 4', date=Mar 16, 2017 1:00:31 PM}
Event{id=35, message='Some info for user 5', date=Mar 16, 2017 1:00:31 PM}
Event{id=67, message='Some info for user John Smith', date=Mar 16, 2017 1:00:49 PM}
Event{id=40, message='Some info for user 4', date=Mar 16, 2017 1:00:49 PM}
Event{id=23, message='Some info for user 5', date=Mar 16, 2017 1:00:49 PM}
Event{id=60, message='Some info for user John Smith', date=Mar 16, 2017 1:01:45 PM}
Event{id=62, message='Some info for user 4', date=Mar 16, 2017 1:01:45 PM}
Event{id=60, message='Some info for user 5', date=Mar 16, 2017 1:01:45 PM}
Event{id=97, message='Some info for user John Smith', date=Mar 16, 2017 1:02:08 PM}
Event{id=17, message='Some info for user 4', date=Mar 16, 2017 1:02:08 PM}
Event{id=41, message='Some info for user 5', date=Mar 16, 2017 1:02:08 PM}
Event{id=21, message='Some info for user John Smith', date=Mar 16, 2017 1:20:27 PM}
Event{id=7, message='Some info for user 4', date=Mar 16, 2017 1:20:27 PM}
Event{id=10, message='Some info for user 5', date=Mar 16, 2017 1:20:27 PM}
Event{id=44, message='Some info for user John Smith', date=Mar 16, 2017 1:21:04 PM}
Event{id=99, message='Some info for user 4', date=Mar 16, 2017 1:21:04 PM}
Event{id=88, message='Some info for user 5', date=Mar 16, 2017 1:21:04 PM}
Event{id=43, message='Some info for user John Smith', date=Mar 16, 2017 1:24:21 PM}
Event{id=31, message='Some info for user 4', date=Mar 16, 2017 1:24:21 PM}
Event{id=55, message='Some info for user 5', date=Mar 16, 2017 1:24:21 PM}
Event{id=12, message='Some info for user John Smith', date=Mar 16, 2017 1:24:51 PM}
Event{id=5, message='Some info for user 4', date=Mar 16, 2017 1:24:51 PM}
Event{id=30, message='Some info for user 5', date=Mar 16, 2017 1:24:51 PM}
Event{id=92, message='Some info for user John Smith', date=Mar 16, 2017 1:25:12 PM}
Event{id=6, message='Some info for user 4', date=Mar 16, 2017 1:25:20 PM}
Event{id=86, message='Some info for user 5', date=Mar 16, 2017 1:25:21 PM}
Event{id=19, message='Some info for user John Smith', date=Mar 16, 2017 1:25:58 PM}
Event{id=83, message='Some info for user 4', date=Mar 16, 2017 1:25:58 PM}
Event{id=39, message='Some info for user 5', date=Mar 16, 2017 1:25:58 PM}
Event{id=44, message='Some info for user John Smith', date=Mar 16, 2017 1:27:07 PM}
Event{id=55, message='Some info for user 4', date=Mar 16, 2017 1:27:07 PM}
Event{id=79, message='Some info for user 5', date=Mar 16, 2017 1:27:07 PM}
Event{id=55, message='Some info for user John Smith', date=Mar 16, 2017 1:32:25 PM}
Event{id=23, message='Some info for user 4', date=Mar 16, 2017 1:32:25 PM}
Event{id=90, message='Some info for user 5', date=Mar 16, 2017 1:32:25 PM}
Event{id=74, message='Some info for user John Smith', date=Mar 16, 2017 1:33:22 PM}
Event{id=2, message='Some info for user 4', date=Mar 16, 2017 1:33:29 PM}
Event{id=44, message='Some info for user 5', date=Mar 16, 2017 1:33:29 PM}
Event{id=11, message='Some info for user John Smith', date=Mar 16, 2017 1:39:44 PM}
Event{id=60, message='Some info for user 4', date=Mar 16, 2017 1:39:44 PM}
Event{id=50, message='Some info for user 5', date=Mar 16, 2017 1:39:44 PM}
Event{id=80, message='Some info for user John Smith', date=Mar 16, 2017 1:40:26 PM}
Event{id=38, message='Some info for user 4', date=Mar 16, 2017 1:40:26 PM}
Event{id=29, message='Some info for user 5', date=Mar 16, 2017 1:40:26 PM}
Event{id=56, message='Some info for user John Smith', date=Mar 16, 2017 1:41:55 PM}
Event{id=57, message='Some info for user 4', date=Mar 16, 2017 1:41:55 PM}
Event{id=23, message='Some info for user 5', date=Mar 16, 2017 1:41:55 PM}
Event{id=12, message='Some info for user John Smith', date=Mar 16, 2017 1:51:38 PM}
Event{id=84, message='Some info for user 4', date=Mar 16, 2017 1:51:38 PM}
Event{id=79, message='Some info for user 5', date=Mar 16, 2017 1:51:38 PM}
Event{id=26, message='Some info for user John Smith', date=Mar 16, 2017 2:03:07 PM}
Event{id=22, message='Some info for user 4', date=Mar 16, 2017 2:03:08 PM}
Event{id=30, message='Some info for user 5', date=Mar 16, 2017 2:03:08 PM}
Event{id=66, message='Some info for user John Smith', date=Mar 16, 2017 2:04:19 PM}
Event{id=41, message='Some info for user 4', date=Mar 16, 2017 2:04:45 PM}
Event{id=47, message='Some info for user 5', date=Mar 16, 2017 2:04:52 PM}
Event{id=55, message='Some info for user John Smith', date=Mar 16, 2017 2:06:12 PM}
Event{id=75, message='Some info for user 4', date=Mar 16, 2017 2:07:39 PM}
Event{id=82, message='Some info for user 5', date=Mar 16, 2017 2:07:39 PM}
Event{id=14, message='Some info for user John Smith', date=Mar 16, 2017 2:07:49 PM}
Event{id=8, message='Some info for user 2', date=Mar 16, 2017 2:07:49 PM}
Event{id=61, message='Some info for user 4', date=Mar 16, 2017 2:07:49 PM}
Event{id=55, message='Some info for user 5', date=Mar 16, 2017 2:07:49 PM}
Event{id=17, message='Some info for user John Smith', date=Mar 16, 2017 2:09:52 PM}
Event{id=95, message='Some info for user 2', date=Mar 16, 2017 2:10:23 PM}
Event{id=10, message='Some info for user 4', date=Mar 16, 2017 2:10:36 PM}
Event{id=89, message='Some info for user 5', date=Mar 16, 2017 2:10:36 PM}
Event{id=27, message='Some info for user John Smith', date=Mar 16, 2017 2:10:38 PM}
Event{id=86, message='Some info for user 2', date=Mar 16, 2017 2:13:09 PM}
Event{id=36, message='Some info for user 4', date=Mar 16, 2017 2:14:50 PM}
Event{id=42, message='Some info for user 5', date=Mar 16, 2017 2:15:10 PM}
Event{id=13, message='Some info for user John Smith', date=Mar 16, 2017 2:16:52 PM}
Event{id=3, message='Some info for user 2', date=Mar 16, 2017 2:17:35 PM}
Event{id=12, message='Some info for user 4', date=Mar 16, 2017 2:20:16 PM}
Event{id=76, message='Some info for user 5', date=Mar 16, 2017 2:20:18 PM}
Event{id=24, message='Some info for user John Smith', date=Mar 16, 2017 2:21:52 PM}
Event{id=62, message='Some info for user 2', date=Mar 16, 2017 2:21:52 PM}
Event{id=34, message='Some info for user 4', date=Mar 16, 2017 2:21:52 PM}
Event{id=51, message='Some info for user 5', date=Mar 16, 2017 2:21:52 PM}
Event{id=47, message='Some info for user John Smith', date=Mar 16, 2017 4:13:06 PM}
Event{id=82, message='Some info for user 2', date=Mar 16, 2017 4:13:06 PM}
Event{id=25, message='Some info for user 4', date=Mar 16, 2017 4:13:06 PM}
Event{id=52, message='Some info for user 5', date=Mar 16, 2017 4:13:06 PM}
Event{id=89, message='Some info for user John Smith', date=Mar 16, 2017 4:17:11 PM}
Event{id=0, message='Some info for user 2', date=Mar 16, 2017 4:17:11 PM}
Event{id=9, message='Some info for user 4', date=Mar 16, 2017 4:17:11 PM}
Event{id=63, message='Some info for user 5', date=Mar 16, 2017 4:17:11 PM}
Event{id=65, message='Some info for user John Smith', date=Mar 16, 2017 4:17:26 PM}
Event{id=95, message='Some info for user 2', date=Mar 16, 2017 4:17:27 PM}
Event{id=59, message='Some info for user 4', date=Mar 16, 2017 4:17:27 PM}
Event{id=61, message='Some info for user 5', date=Mar 16, 2017 4:17:27 PM}
Event{id=13, message='Some info for user John Smith', date=Mar 16, 2017 4:18:56 PM}
Event{id=50, message='Some info for user 2', date=Mar 16, 2017 4:18:56 PM}
Event{id=89, message='Some info for user 4', date=Mar 16, 2017 4:18:56 PM}
Event{id=77, message='Some info for user 5', date=Mar 16, 2017 4:18:56 PM}
Event{id=36, message='Some info for user John Smith', date=Mar 16, 2017 4:43:42 PM}
Event{id=81, message='Some info for user 2', date=Mar 16, 2017 4:43:42 PM}
Event{id=75, message='Some info for user 4', date=Mar 16, 2017 4:43:42 PM}
Event{id=1, message='Some info for user 5', date=Mar 16, 2017 4:43:42 PM}
Event{id=93, message='Some info for user John Smith', date=Mar 16, 2017 4:44:22 PM}
Event{id=87, message='Some info for user 2', date=Mar 16, 2017 4:44:22 PM}
Event{id=0, message='Some info for user 4', date=Mar 16, 2017 4:44:22 PM}
Event{id=0, message='Some info for user 5', date=Mar 16, 2017 4:44:22 PM}
Event{id=63, message='Some info for user John Smith', date=Mar 16, 2017 4:46:08 PM}
Event{id=82, message='Some info for user 2', date=Mar 16, 2017 4:46:08 PM}
Event{id=95, message='Some info for user 4', date=Mar 16, 2017 4:46:08 PM}
Event{id=29, message='Some info for user 5', date=Mar 16, 2017 4:46:08 PM}
Event{id=84, message='Some info for user John Smith', date=Mar 16, 2017 4:47:37 PM}
Event{id=34, message='Some info for user 2', date=Mar 16, 2017 4:47:37 PM}
Event{id=51, message='Some info for user 4', date=Mar 16, 2017 4:47:37 PM}
Event{id=73, message='Some info for user 5', date=Mar 16, 2017 4:47:37 PM}
Event{id=39, message='Some info for user John Smith', date=Mar 16, 2017 4:56:01 PM}
Event{id=73, message='Some info for user 2', date=Mar 16, 2017 4:56:01 PM}
Event{id=17, message='Some info for user 4', date=Mar 16, 2017 4:56:01 PM}
Event{id=63, message='Some info for user 5', date=Mar 16, 2017 4:56:01 PM}
Event{id=66, message='Some info for user John Smith', date=Mar 16, 2017 4:58:31 PM}
Event{id=37, message='Some info for user 2', date=Mar 16, 2017 4:58:31 PM}
Event{id=93, message='Some info for user 4', date=Mar 16, 2017 4:58:31 PM}
Event{id=28, message='Some info for user 5', date=Mar 16, 2017 4:58:31 PM}
Event{id=38, message='Some info for user John Smith', date=Mar 17, 2017 1:27:42 PM}
Event{id=6, message='Some info for user 2', date=Mar 17, 2017 1:27:42 PM}
Event{id=66, message='Some info for user 4', date=Mar 17, 2017 1:27:42 PM}
Event{id=12, message='Some info for user 5', date=Mar 17, 2017 1:27:42 PM}
Event{id=79, message='Some info for user John Smith', date=Mar 17, 2017 1:28:08 PM}
Event{id=78, message='Some info for user 2', date=Mar 17, 2017 1:28:09 PM}
Event{id=36, message='Some info for user 4', date=Mar 17, 2017 1:28:09 PM}
Event{id=16, message='Some info for user 5', date=Mar 17, 2017 1:28:09 PM}
Event{id=3, message='Some info for user John Smith', date=Mar 17, 2017 1:54:00 PM}
Event{id=84, message='Some info for user 2', date=Mar 17, 2017 1:54:00 PM}
Event{id=90, message='Some info for user 4', date=Mar 17, 2017 1:54:00 PM}
Event{id=70, message='Some info for user 5', date=Mar 17, 2017 1:54:00 PM}
Event{id=16, message='Some info for user John Smith', date=Mar 17, 2017 1:55:01 PM}
Event{id=98, message='Some info for user 2', date=Mar 17, 2017 1:55:01 PM}
Event{id=74, message='Some info for user 4', date=Mar 17, 2017 1:55:01 PM}
Event{id=50, message='Some info for user 5', date=Mar 17, 2017 1:55:01 PM}
Event{id=12, message='Some info for user John Smith', date=Mar 17, 2017 2:14:40 PM}
Event{id=3, message='Some info for user 2', date=Mar 17, 2017 2:14:40 PM}
Event{id=58, message='Some info for user 4', date=Mar 17, 2017 2:14:40 PM}
Event{id=82, message='Some info for user 5', date=Mar 17, 2017 2:14:40 PM}
Event{id=89, message='Some info for user John Smith', date=Mar 17, 2017 2:27:28 PM}
Event{id=29, message='Some info for user 2', date=Mar 17, 2017 2:27:28 PM}
Event{id=97, message='Some info for user 4', date=Mar 17, 2017 2:27:28 PM}
Event{id=19, message='Some info for user 5', date=Mar 17, 2017 2:27:28 PM}
Event{id=40, message='Some info for user John Smith', date=Mar 21, 2017 11:31:30 AM}
Event{id=80, message='Some info for user 2', date=Mar 21, 2017 11:31:30 AM}
Event{id=24, message='Some info for user 4', date=Mar 21, 2017 11:31:30 AM}
Event{id=3, message='Some info for user 5', date=Mar 21, 2017 11:31:30 AM}
Event{id=74, message='Some info for user John Smith', date=Mar 21, 2017 12:28:06 PM}
Event{id=64, message='Some info for user 4', date=Mar 21, 2017 12:28:06 PM}
Event{id=76, message='Some info for user 5', date=Mar 21, 2017 12:28:06 PM}
Event{id=21, message='Some info for user John Smith', date=Mar 21, 2017 12:29:17 PM}
Event{id=93, message='Some info for user 4', date=Mar 21, 2017 12:29:17 PM}
Event{id=46, message='Some info for user 5', date=Mar 21, 2017 12:29:17 PM}
Event{id=80, message='Some info for user John Smith', date=Mar 21, 2017 12:31:49 PM}
Event{id=72, message='Some info for user 4', date=Mar 21, 2017 12:31:49 PM}
Event{id=2, message='Some info for user 5', date=Mar 21, 2017 12:31:49 PM}
Event{id=6, message='Some info for user John Smith', date=Mar 21, 2017 12:32:33 PM}
Event{id=18, message='Some info for user 4', date=Mar 21, 2017 12:32:33 PM}
Event{id=55, message='Some info for user 5', date=Mar 21, 2017 12:32:33 PM}
Event{id=86, message='Some info for user John Smith', date=Mar 21, 2017 12:33:53 PM}
Event{id=44, message='Some info for user 4', date=Mar 21, 2017 12:33:53 PM}
Event{id=86, message='Some info for user 5', date=Mar 21, 2017 12:33:53 PM}
Event{id=25, message='Some info for user John Smith', date=Mar 21, 2017 12:39:05 PM}
Event{id=96, message='Some info for user 4', date=Mar 21, 2017 12:39:05 PM}
Event{id=74, message='Some info for user 5', date=Mar 21, 2017 12:39:05 PM}
Event{id=48, message='Some info for user John Smith', date=Mar 21, 2017 12:40:02 PM}
Event{id=28, message='Some info for user 4', date=Mar 21, 2017 12:40:03 PM}
Event{id=39, message='Some info for user 5', date=Mar 21, 2017 12:40:03 PM}
Event{id=72, message='Some info for user John Smith', date=Mar 21, 2017 12:41:04 PM}
Event{id=9, message='Some info for user 4', date=Mar 21, 2017 12:41:04 PM}
Event{id=53, message='Some info for user 5', date=Mar 21, 2017 12:41:04 PM}
Event{id=57, message='Some info for user John Smith', date=Mar 21, 2017 12:45:47 PM}
Event{id=70, message='Some info for user 4', date=Mar 21, 2017 12:45:48 PM}
Event{id=3, message='Some info for user 5', date=Mar 21, 2017 12:45:48 PM}
Event{id=32, message='Some info for user John Smith', date=Mar 21, 2017 12:46:50 PM}
Event{id=6, message='Some info for user 4', date=Mar 21, 2017 12:46:50 PM}
Event{id=13, message='Some info for user 5', date=Mar 21, 2017 12:46:50 PM}
Event{id=52, message='Some info for user John Smith', date=Mar 21, 2017 12:48:53 PM}
Event{id=45, message='Some info for user 4', date=Mar 21, 2017 12:48:53 PM}
Event{id=1, message='Some info for user 5', date=Mar 21, 2017 12:48:53 PM}
Event{id=62, message='Some info for user John Smith', date=Mar 21, 2017 12:49:45 PM}
Event{id=59, message='Some info for user 4', date=Mar 21, 2017 12:49:45 PM}
Event{id=49, message='Some info for user 5', date=Mar 21, 2017 12:49:45 PM}
Event{id=93, message='Some info for user John Smith', date=Mar 21, 2017 12:56:00 PM}
Event{id=39, message='Some info for user 4', date=Mar 21, 2017 12:56:00 PM}
Event{id=79, message='Some info for user 5', date=Mar 21, 2017 12:56:00 PM}
Event{id=94, message='Some info for user John Smith', date=Mar 21, 2017 12:57:11 PM}
Event{id=33, message='Some info for user 4', date=Mar 21, 2017 12:57:11 PM}
Event{id=93, message='Some info for user 5', date=Mar 21, 2017 12:57:11 PM}
Event{id=9, message='Some info for user John Smith', date=Mar 21, 2017 12:59:19 PM}
Event{id=19, message='Some info for user 4', date=Mar 21, 2017 12:59:19 PM}
Event{id=77, message='Some info for user 5', date=Mar 21, 2017 12:59:19 PM}
Event{id=48, message='Some info for user John Smith', date=Mar 21, 2017 12:59:37 PM}
Event{id=60, message='Some info for user 4', date=Mar 21, 2017 12:59:37 PM}
Event{id=78, message='Some info for user 5', date=Mar 21, 2017 12:59:37 PM}
Event{id=76, message='Some info for user John Smith', date=Mar 21, 2017 1:03:49 PM}
Event{id=40, message='Some info for user 4', date=Mar 21, 2017 1:03:49 PM}
Event{id=33, message='Some info for user 5', date=Mar 21, 2017 1:03:49 PM}
Event{id=79, message='Some info for user John Smith', date=Mar 21, 2017 1:04:56 PM}
Event{id=63, message='Some info for user 4', date=Mar 21, 2017 1:04:56 PM}
Event{id=12, message='Some info for user 5', date=Mar 21, 2017 1:04:56 PM}
Event{id=46, message='Some info for user John Smith', date=Mar 21, 2017 1:05:24 PM}
Event{id=91, message='Some info for user 4', date=Mar 21, 2017 1:05:24 PM}
Event{id=39, message='Some info for user 5', date=Mar 21, 2017 1:05:24 PM}
Event{id=17, message='Some info for user John Smith', date=Mar 21, 2017 1:08:59 PM}
Event{id=61, message='Some info for user 4', date=Mar 21, 2017 1:08:59 PM}
Event{id=28, message='Some info for user 5', date=Mar 21, 2017 1:08:59 PM}
Event{id=79, message='Some info for user John Smith', date=Mar 21, 2017 1:10:26 PM}
Event{id=68, message='Some info for user 4', date=Mar 21, 2017 1:10:26 PM}
Event{id=13, message='Some info for user 5', date=Mar 21, 2017 1:10:26 PM}
Event{id=14, message='Some info for user John Smith', date=Mar 21, 2017 1:11:39 PM}
Event{id=64, message='Some info for user 4', date=Mar 21, 2017 1:11:40 PM}
Event{id=83, message='Some info for user 5', date=Mar 21, 2017 1:11:40 PM}
Event{id=81, message='Some info for user John Smith', date=Mar 21, 2017 1:40:18 PM}
Event{id=57, message='Some info for user 4', date=Mar 21, 2017 1:40:18 PM}
Event{id=63, message='Some info for user 5', date=Mar 21, 2017 1:40:18 PM}
Event{id=85, message='Some info for user John Smith', date=Mar 21, 2017 1:41:39 PM}
Event{id=24, message='Some info for user 4', date=Mar 21, 2017 1:41:39 PM}
Event{id=52, message='Some info for user 5', date=Mar 21, 2017 1:41:39 PM}
Event{id=59, message='Some info for user John Smith', date=Mar 21, 2017 2:30:49 PM}
Event{id=65, message='Some info for user 4', date=Mar 21, 2017 2:30:49 PM}
Event{id=41, message='Some info for user 5', date=Mar 21, 2017 2:30:49 PM}
Event{id=1, message='Some info for user John Smith', date=Mar 21, 2017 3:15:23 PM}
Event{id=57, message='Some info for user 4', date=Mar 21, 2017 3:15:23 PM}
Event{id=46, message='Some info for user 5', date=Mar 21, 2017 3:15:23 PM}
Event{id=81, message='Some info for user John Smith', date=Mar 21, 2017 3:16:09 PM}
Event{id=19, message='Some info for user 4', date=Mar 21, 2017 3:16:09 PM}
Event{id=39, message='Some info for user 5', date=Mar 21, 2017 3:16:09 PM}
Event{id=76, message='Some info for user John Smith', date=Mar 21, 2017 3:18:01 PM}
Event{id=20, message='Some info for user 4', date=Mar 21, 2017 3:18:01 PM}
Event{id=48, message='Some info for user 5', date=Mar 21, 2017 3:18:01 PM}
Event{id=31, message='Some info for user John Smith', date=Mar 21, 2017 3:18:18 PM}
Event{id=45, message='Some info for user 4', date=Mar 21, 2017 3:18:18 PM}
Event{id=31, message='Some info for user 5', date=Mar 21, 2017 3:18:18 PM}
